Date,Open,High,Low,Close,Volume
1994-03-06,785.62,793.6,771.88,790.55,0
1994-03-13,792.06,795.84,786.23,789.2,0
1994-03-20,790.02,804.53,789.16,803.93,0
1994-03-27,803.39,804.01,783.13,783.45,0
1994-04-03,784.21,784.79,731.74,743.46,0
1994-04-10,737.13,755.6,721.47,748.71,0
1994-04-17,748.38,749.5,721.31,727.97,0
1994-04-24,729.49,731.38,703.15,722.56,0
1994-05-01,723.65,736.25,722.56,733.84,0
1994-05-08,735.01,742.68,729.98,732.86,0
1994-05-15,731.73,732.89,713.0,716.92,0
1994-05-22,716.9,729.04,703.78,726.7,0
1994-05-29,727.25,735.23,722.93,733.14,0
1994-06-05,732.71,743.79,730.24,742.38,0
1994-06-12,743.0,744.97,727.09,734.25,0
1994-06-19,733.96,738.41,728.77,729.35,0
1994-06-26,726.45,729.35,693.09,693.79,0
1994-07-03,694.16,708.02,690.85,706.85,0
1994-07-10,706.73,709.42,699.37,707.46,0
1994-07-17,708.46,726.06,702.98,721.36,0
1994-07-24,722.3,723.17,710.47,716.68,0
1994-07-31,716.66,722.37,711.85,722.16,0
1994-08-07,722.84,728.21,715.77,718.67,0
1994-08-14,717.73,731.97,717.05,731.61,0
1994-08-21,732.11,744.73,730.25,742.43,0
1994-08-28,741.76,764.62,740.28,762.94,0
1994-09-04,763.44,767.67,757.43,759.23,0
1994-09-11,759.01,769.56,757.49,763.73,0
1994-09-18,763.56,779.73,758.99,777.91,0
1994-09-25,778.13,779.2,756.63,757.46,0
1994-10-02,756.95,765.3,752.35,764.29,0
1994-10-09,764.47,765.85,737.59,749.96,0
1994-10-16,751.33,774.91,749.96,767.08,0
1994-10-23,767.07,772.63,763.33,765.38,0
1994-10-30,766.22,776.26,754.17,776.15,0
1994-11-06,775.87,778.88,765.98,766.08,0
1994-11-13,766.22,774.61,761.32,762.12,0
1994-11-20,763.61,771.88,762.12,764.67,0
1994-11-27,767.03,768.3,728.72,742.52,0
1994-12-04,743.08,754.35,739.15,745.02,0
1994-12-11,745.53,747.82,710.87,719.05,0
1994-12-18,719.24,732.21,712.09,729.07,0
1994-12-25,728.75,743.36,726.15,742.19,0
1995-01-01,743.6,752.21,740.68,751.96,0
1995-01-08,751.31,751.96,740.44,749.69,0
1995-01-15,750.19,762.55,749.6,762.16,0
1995-01-22,762.3,774.35,759.18,762.05,0
1995-01-29,759.32,763.46,753.73,758.91,0
1995-02-05,759.63,773.99,750.91,772.06,0
1995-02-12,772.82,790.98,772.04,790.43,0
1995-02-19,789.7,796.24,786.66,786.97,0
1995-02-26,787.73,794.68,783.43,791.08,0
1995-03-05,789.55,798.98,783.68,798.79,0
1995-03-12,796.53,802.37,790.23,802.22,0
1995-03-19,802.22,811.45,801.22,808.33,0
1995-03-26,808.35,818.68,806.63,818.66,0
1995-04-02,817.88,830.01,806.27,817.21,0
1995-04-09,816.06,820.68,810.82,814.69,0
1995-04-16,814.44,833.04,813.74,832.64,0
1995-04-23,835.15,839.6,812.61,823.44,0
1995-04-30,823.25,844.45,821.44,843.98,0
1995-05-07,844.72,856.83,839.26,843.53,0
1995-05-14,843.48,860.04,842.44,858.94,0
1995-05-21,859.74,874.63,857.89,864.57,0
1995-05-28,865.57,886.1,864.32,871.87,0
1995-06-04,872.77,875.25,851.56,872.97,0
1995-06-11,875.25,886.4,872.83,884.38,0
1995-06-18,885.55,908.69,884.31,908.65,0
1995-06-25,909.9,940.21,908.63,938.87,0
1995-07-02,938.33,939.27,912.91,933.45,0
1995-07-09,933.99,969.77,931.95,969.76,0
1995-07-16,970.41,999.73,969.77,999.33,0
1995-07-23,1000.73,1007.79,936.97,961.77,0
1995-07-30,964.12,1011.9,961.77,1005.28,0
1995-08-06,1006.43,1007.14,970.6,991.09,0
1995-08-13,992.78,1007.13,981.33,1004.11,0
1995-08-20,1004.19,1034.54,1003.07,1031.28,0
1995-08-27,1033.02,1035.35,999.61,1019.97,0
1995-09-03,1020.7,1023.26,989.33,1019.47,0
1995-09-10,1021.73,1060.05,1019.47,1060.03,0
1995-09-17,1060.47,1070.47,1047.43,1051.1,0
1995-09-24,1052.0,1067.01,1041.57,1053.39,0
1995-10-01,1053.53,1054.11,1008.38,1043.54,0
1995-10-08,1041.39,1044.23,999.79,1012.04,0
1995-10-15,1006.81,1024.63,956.98,1018.38,0
1995-10-22,1018.33,1050.69,1016.34,1039.53,0
1995-10-29,1035.28,1047.01,1007.28,1025.55,0
1995-11-05,1028.17,1065.66,1025.55,1065.66,0
1995-11-12,1065.63,1068.8,1038.47,1063.87,0
1995-11-19,1063.21,1067.0,1033.11,1045.03,0
1995-11-26,1048.07,1050.11,1016.36,1030.17,0
1995-12-03,1034.0,1061.92,1028.96,1055.31,0
1995-12-10,1057.95,1075.14,1048.11,1062.41,0
1995-12-17,1064.68,1066.06,1028.14,1030.48,0
1995-12-24,1029.12,1046.97,1001.37,1046.89,0
1995-12-31,1047.56,1052.32,1039.47,1052.13,0
1996-01-07,1052.83,1058.94,1017.53,1033.47,0
1996-01-14,1034.94,1035.9,987.85,1008.23,0
1996-01-21,1009.96,1019.62,969.95,1018.45,0
1996-01-28,1019.72,1046.15,1018.45,1040.96,0
1996-02-04,1042.53,1076.83,1039.68,1072.11,0
1996-02-11,1072.95,1099.05,1070.64,1094.6,0
1996-02-18,1094.84,1099.03,1079.65,1090.71,0
1996-02-25,1085.52,1122.05,1079.91,1117.79,0
1996-03-03,1116.53,1119.36,1082.79,1086.08,0
1996-03-10,1088.91,1099.26,1057.73,1063.73,0
1996-03-17,1065.0,1099.9,1063.72,1099.59,0
1996-03-24,1102.78,1119.89,1096.19,1102.22,0
1996-03-31,1104.31,1107.2,1079.45,1101.4,0
1996-04-07,1105.77,1119.49,1100.71,1118.21,0
1996-04-14,1106.32,1118.22,1092.23,1100.94,0
1996-04-21,1102.8,1143.58,1100.94,1138.7,0
1996-04-28,1143.08,1189.27,1138.72,1186.89,0
1996-05-05,1186.67,1200.26,1178.24,1184.6,0
1996-05-12,1186.83,1202.81,1163.02,1202.76,0
1996-05-19,1204.33,1246.24,1202.54,1241.88,0
1996-05-26,1246.0,1252.92,1240.5,1247.8,0
1996-06-02,1249.6,1251.6,1222.75,1243.43,0
1996-06-09,1242.54,1254.32,1205.91,1229.76,0
1996-06-16,1231.5,1240.99,1213.18,1213.18,0
1996-06-23,1215.3,1217.49,1152.42,1175.44,0
1996-06-30,1177.93,1186.65,1147.58,1185.02,0
1996-07-07,1185.64,1199.98,1158.33,1158.35,0
1996-07-14,1157.69,1161.05,1094.22,1103.49,0
1996-07-21,1102.52,1109.86,1008.44,1097.68,0
1996-07-28,1096.28,1097.7,1017.64,1079.44,0
1996-08-04,1079.21,1125.98,1063.2,1124.92,0
1996-08-11,1127.91,1141.4,1113.87,1137.27,0
1996-08-18,1136.69,1139.8,1123.92,1133.65,0
1996-08-25,1133.92,1146.82,1118.62,1143.05,0
1996-09-01,1144.36,1154.03,1137.29,1141.5,0
1996-09-08,1133.3,1145.81,1123.14,1139.39,0
1996-09-15,1140.79,1188.68,1140.79,1188.67,0
1996-09-22,1190.04,1221.27,1187.5,1219.69,0
1996-09-29,1216.69,1237.26,1207.68,1230.05,0
1996-10-06,1229.14,1247.59,1214.6,1247.56,0
1996-10-13,1247.14,1256.72,1232.64,1248.27,0
1996-10-20,1250.67,1269.62,1238.24,1242.48,0
1996-10-27,1241.95,1253.32,1215.08,1222.6,0
1996-11-03,1225.39,1229.63,1202.36,1221.78,0
1996-11-10,1223.47,1257.62,1218.23,1257.51,0
1996-11-17,1258.24,1274.76,1165.81,1261.8,0
1996-11-24,1263.08,1274.66,1250.21,1274.36,0
1996-12-01,1275.41,1293.75,1271.54,1292.61,0
1996-12-08,1294.78,1313.38,1258.89,1287.68,0
1996-12-15,1296.18,1328.95,1281.43,1284.91,0
1996-12-22,1289.72,1304.56,1251.03,1288.56,0
1996-12-29,1290.68,1297.15,1276.93,1291.38,0
1997-01-05,1295.18,1310.84,1272.34,1310.68,0
1997-01-12,1314.34,1332.02,1310.63,1332.02,0
1997-01-19,1335.45,1350.53,1328.71,1349.05,0
1997-01-26,1351.14,1400.53,1349.04,1363.83,0
1997-02-02,1367.41,1381.97,1349.28,1379.85,0
1997-02-09,1383.97,1384.51,1339.64,1357.71,0
1997-02-16,1360.46,1373.75,1319.69,1367.19,0
1997-02-23,1369.16,1371.2,1332.05,1334.32,0
1997-03-02,1328.4,1355.67,1296.88,1309.0,0
1997-03-09,1306.21,1332.49,1301.83,1311.8,0
1997-03-16,1312.72,1326.08,1291.7,1292.97,0
1997-03-23,1289.36,1292.97,1239.76,1254.07,0
1997-03-30,1251.07,1277.36,1230.96,1249.51,0
1997-04-06,1246.35,1249.62,1196.22,1236.73,0
1997-04-13,1245.83,1267.41,1206.78,1206.9,0
1997-04-20,1209.04,1233.01,1199.68,1222.57,0
1997-04-27,1221.98,1242.16,1194.16,1209.29,0
1997-05-04,1211.87,1306.11,1203.97,1305.33,0
1997-05-11,1311.7,1343.01,1305.33,1335.05,0
1997-05-18,1339.05,1354.33,1328.07,1340.73,0
1997-05-25,1343.32,1389.86,1335.95,1389.72,0
1997-06-01,1388.0,1414.26,1352.65,1400.32,0
1997-06-08,1407.07,1408.49,1375.45,1404.84,0
1997-06-15,1410.69,1426.73,1394.44,1423.03,0
1997-06-22,1423.74,1453.51,1421.74,1447.1,0
1997-06-29,1444.84,1458.85,1433.33,1438.15,0
1997-07-06,1439.47,1469.36,1432.07,1467.61,0
1997-07-13,1472.61,1503.31,1466.57,1502.62,0
1997-07-20,1506.97,1582.63,1502.62,1547.99,0
1997-07-27,1548.1,1578.86,1530.23,1569.58,0
1997-08-03,1573.09,1599.03,1560.51,1594.33,0
1997-08-10,1593.09,1638.26,1586.6,1598.52,0
1997-08-17,1599.16,1601.15,1561.85,1562.03,0
1997-08-24,1563.45,1628.81,1545.13,1598.69,0
1997-08-31,1601.11,1611.32,1572.09,1587.32,0
1997-09-07,1595.07,1639.9,1587.32,1635.77,0
1997-09-14,1641.72,1659.37,1620.52,1649.33,0
1997-09-21,1649.76,1680.37,1634.76,1680.36,0
1997-09-28,1684.31,1702.49,1675.56,1682.24,0
1997-10-05,1685.3,1726.59,1680.62,1715.87,0
1997-10-12,1722.39,1748.78,1716.6,1739.03,0
1997-10-19,1744.88,1747.98,1646.04,1666.85,0
1997-10-26,1675.16,1717.3,1642.69,1650.92,0
1997-11-02,1633.92,1650.92,1465.84,1593.61,0
1997-11-09,1609.62,1644.55,1587.31,1602.4,0
1997-11-16,1609.77,1616.82,1526.85,1583.51,0
1997-11-23,1601.95,1654.43,1594.05,1620.75,0
1997-11-30,1612.94,1620.75,1580.15,1600.55,0
1997-12-07,1608.56,1633.96,1591.05,1633.9,0
1997-12-14,1639.39,1652.84,1533.62,1536.58,0
1997-12-21,1540.41,1568.54,1486.23,1524.74,0
1997-12-28,1533.46,1544.45,1497.67,1511.38,0
1998-01-04,1521.79,1581.57,1511.38,1581.53,0
1998-01-11,1585.77,1602.88,1497.37,1503.22,0
1998-01-18,1482.01,1564.96,1465.61,1562.88,0
1998-01-25,1567.8,1590.66,1567.8,1575.93,0
1998-02-01,1578.33,1629.54,1556.91,1619.36,0
1998-02-08,1640.06,1701.2,1619.36,1694.35,0
1998-02-15,1699.92,1715.11,1686.21,1710.42,0
