time,open,high,low,close
1971-08-09,13.563329,14.172246,13.563329,14.088669
1971-08-16,14.996075,15.079652,14.661767,14.757284
1971-08-23,15.031893,15.199047,14.996075,15.067712
1971-08-30,14.811012,14.811012,14.303581,14.697586
1971-09-06,14.805042,14.828921,14.578191,14.578191
1971-09-13,14.32746,14.470735,14.31552,14.363279
1971-09-20,14.518493,14.697586,14.518493,14.554311
1971-09-27,14.512523,14.614009,14.458795,14.614009
1971-10-04,14.637888,14.757284,14.554311,14.554311
1971-10-11,14.60207,15.049803,14.60207,14.745344
1971-10-18,14.625949,14.757284,14.405067,14.405067
1971-10-25,14.422976,14.422976,14.184185,14.351339
1971-11-01,13.963304,14.470735,13.963304,14.32746
1971-11-08,14.291641,14.291641,13.957334,14.05285
1971-11-15,14.05285,14.422976,14.017032,14.017032
1971-11-22,13.933455,14.267762,13.873757,14.267762
1971-11-29,14.434916,15.330382,14.434916,15.330382
1971-12-06,14.960256,15.497536,14.960256,15.497536
1971-12-13,15.485596,16.19003,15.282624,16.19003
1971-12-20,16.309425,16.524337,16.046755,16.046755
1971-12-27,15.92736,16.201969,15.92736,16.070634
1972-01-03,15.903481,16.285546,15.903481,16.17809
1972-01-10,16.142272,16.71537,16.142272,16.71537
1972-01-17,16.691491,17.586957,16.691491,17.586957
1972-01-24,17.216831,17.610836,17.216831,17.586957
1972-01-31,17.575018,17.837688,17.575018,17.658594
1972-02-07,17.598897,17.849627,17.598897,17.849627
1972-02-14,17.622776,17.658594,17.563078,17.610836
1972-02-21,17.598897,17.78993,17.419803,17.78993
1972-02-28,17.527259,18.028721,17.527259,18.028721
1972-03-06,18.148116,18.327209,18.064539,18.064539
1972-03-13,17.825748,18.004841,17.742171,18.004841
1972-03-20,17.998872,18.279451,17.980962,18.279451
1972-03-27,18.386907,18.386907,18.148116,18.255572
1972-04-03,18.410786,18.721214,18.410786,18.589879
1972-04-10,18.649577,18.983885,18.649577,18.864489
1972-04-17,18.864489,18.900308,18.386907,18.386907
1972-04-24,18.386907,18.434665,18.148116,18.434665
1972-05-01,18.267511,18.566,18.100358,18.566
1972-05-08,18.446605,18.446605,18.112297,18.243632
1972-05-15,18.458544,18.924187,18.327209,18.924187
1972-05-22,19.151038,19.294313,19.151038,19.294313
1972-05-29,18.888368,19.055522,18.888368,19.031643
1972-06-05,18.84061,18.876429,18.673456,18.673456
1972-06-12,18.518242,19.09134,18.518242,19.043582
1972-06-19,18.936126,18.983885,18.864489,18.864489
1972-06-26,18.733154,18.733154,18.655547,18.721214
1972-07-03,18.870459,19.294313,18.870459,19.294313
1972-07-10,19.055522,19.055522,18.709275,18.780912
1972-07-17,18.530182,18.936126,18.530182,18.936126
1972-07-24,19.043582,19.043582,18.84061,19.007764
1972-07-31,19.139099,19.867411,19.139099,19.867411
1972-08-07,19.950988,20.321114,19.950988,20.321114
1972-08-14,20.285295,20.285295,19.652499,19.652499
1972-08-21,19.604741,19.724137,19.389829,19.389829
1972-08-28,19.306252,19.521164,19.306252,19.401769
1972-09-04,19.330131,19.330131,19.043582,19.043582
1972-09-11,18.936126,19.079401,18.864489,18.995824
1972-09-18,18.924187,19.127159,18.924187,19.019703
1972-09-25,19.019703,19.437587,19.013733,19.413708
1972-10-02,19.354011,19.425648,18.864489,19.174917
1972-10-09,19.11522,19.11522,18.100358,18.100358
1972-10-16,17.407864,18.482423,17.407864,18.482423
1972-10-23,18.649577,18.649577,18.028721,18.088418
1972-10-30,18.136176,18.673456,18.136176,18.518242
1972-11-06,18.195874,18.195874,17.742171,17.77799
1972-11-13,17.992902,18.530182,17.992902,18.339149
1972-11-20,18.386907,18.816731,18.386907,18.57794
1972-11-27,18.410786,19.007764,18.255572,19.007764
1972-12-04,19.127159,19.246555,18.948066,19.246555
1972-12-11,19.306252,19.306252,18.84061,19.013733
1972-12-18,18.983885,18.983885,18.386907,18.649577
1972-12-25,18.697335,19.246555,18.697335,19.198796
1973-01-01,19.318192,20.034565,19.318192,19.998746
1973-01-08,19.998746,20.297235,19.64056,20.058444
1973-01-15,20.189779,20.96585,20.094263,20.96585
